BossLogicCode,delay,posX,posY,movX,movY,degreeZ,movSpeed,movingType,movDesX,movDesY,movExitX,movExitY,pos1,pos2,pos3,pos4,pos5,bulletType,bulletName,patternType,bulletSpeed,shootLimit,firstWaitTime,waitTime
A01,1.5,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBM_A,str,4,5,0,0
A01,1,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBM_A,str,4,5,0,0
A02,1.25,0,0,0,0,0,0,str,0,0,0,0,,,1,,,str,EBS_A,sprR,4,4,0,0
A02,1.25,0,0,0,0,0,0,str,0,0,0,0,,,1,,,str,EBS_A,sprR,4,4,0,0
A03,1.25,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,acc,EBM_A,way,5,5,0,0
A03,1,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,acc,EBM_A,way,5,5,0,0
A04,1,0,0,0,0,0,0,str,0,0,0,0,,,1,,,acc,EBS_A,spr,4,12,0,0
A05,2,0,0,0,0,0,0,str,0,0,0,0,1,,,,,hom,EBM_B,str,2.5,1,0,0
A05,0.8,0,0,0,0,0,0,str,0,0,0,0,,1,,,,hom,EBM_B,str,2.5,1,0,0
A05,0.8,0,0,0,0,0,0,str,0,0,0,0,,,1,,,hom,EBM_B,str,2.5,1,0,0
A05,0.8,0,0,0,0,0,0,str,0,0,0,0,,,,1,,hom,EBM_B,str,2.5,1,0,0
A05,0.8,0,0,0,0,0,0,str,0,0,0,0,,,,,1,hom,EBM_B,str,2.5,1,0,0
Final,0.1,0,0,0,0,0,2,0,0,0,0,1,,,1,,,acc,EBS_B,cir,4,2,0,0
