BossLogicCode,delay,posX,posY,movX,movY,degreeZ,movSpeed,movingType,movDesX,movDesY,movExitX,movExitY,pos1,pos2,pos3,pos4,pos5,bulletType,bulletName,patternType,bulletSpeed,shootLimit,firstWaitTime,waitTime
B01,1.5,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBS_A,way,4,2,0,0
B01,0.3,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,acc,EBM_A,str,4,1,0,0
B01,0.5,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBS_A,way,4,2,0,0
B01,0.3,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,acc,EBM_A,str,4,1,0,0
B01,0.5,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBS_A,way,4,2,0,0
B01,0.3,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,acc,EBM_A,str,4,1,0,0
B01,0.5,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBS_A,way,4,2,0,0
B01,0.3,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,acc,EBM_A,str,4,1,0,0
B02,1.5,0,0,0,0,0,0,str,0,0,0,0,,,1,,,acc,EBS_A,spr,4,12,0,0
B02,1,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBM_A,way,4,3,0,0
B03,1.5,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,acc,EBS_A,way,4,3,0,0
B03,0.5,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,acc,EBS_A,way,4,3,0,0
B03,0.5,0,0,0,0,0,2,str,0,0,0,1,,,1,,,str,EBM_A,cir,4,1,0,0
B03,0.75,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,acc,EBS_A,way,4,3,0,0
B03,0.5,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,acc,EBS_A,way,4,3,0,0
B03,0.5,0,0,0,0,0,2,str,0,0,0,1,,,1,,,str,EBM_A,cir,4,1,0,0
B04,1.5,0,0,0,0,0,0,str,0,0,0,0,1,,,,,hom,EBM_B,str,3,1,0,0
B04,0.2,0,0,0,0,0,0,str,0,0,0,0,,1,,,,hom,EBM_B,str,3,1,0,0
B04,0.2,0,0,0,0,0,0,str,0,0,0,0,,,1,,,hom,EBM_B,str,3,1,0,0
B04,0.2,0,0,0,0,0,0,str,0,0,0,0,,,,1,,hom,EBM_B,str,3,1,0,0
B04,0.2,0,0,0,0,0,0,str,0,0,0,0,,,,,1,hom,EBM_B,str,3,1,0,0
B04,1,0,0,0,0,0,0,str,0,0,0,0,,,,,1,hom,EBM_B,str,3,1,0,0
B04,0.2,0,0,0,0,0,0,str,0,0,0,0,,,,1,,hom,EBM_B,str,3,1,0,0
B04,0.2,0,0,0,0,0,0,str,0,0,0,0,,,1,,,hom,EBM_B,str,3,1,0,0
B04,0.2,0,0,0,0,0,0,str,0,0,0,0,,1,,,,hom,EBM_B,str,3,1,0,0
B04,0.2,0,0,0,0,0,0,str,0,0,0,0,1,,,,,hom,EBM_B,str,3,1,0,0
Final,0.5,0,0,0,0,0,2,0,0,0,0,1,1,1,,1,1,acc,EBS_B,str,5,5,0,0
