spawnCode,delay,enemyType,posX,posY,dropItemName,movX,movY,degreeZ,movSpeed,movingType,movDesX,movDesY,movExitX,movExitY,fieldTimeLimit,bulletType,bulletName,patternType,bulletSpeed,shootLimit,firstWaitTime,waitTime
101,1,EnemyS_D,-2,4,,0,-1,0,2.5,str,0,0,0,0,99,str,EBS_A,str,4,1,1,5
101,0.3,EnemyS_D,-2,4,,0,-1,0,2.5,str,0,0,0,0,99,str,EBS_A,str,4,1,1,5
101,0.3,EnemyS_D,-2,4,,0,-1,0,2.5,str,0,0,0,0,99,str,EBS_A,str,4,1,1,5
101,0.3,EnemyS_D,-2,4,,0,-1,0,2.5,str,0,0,0,0,99,str,EBS_A,str,4,1,1,5
101,0.3,EnemyS_D,-2,4,silver,0,-1,0,2.5,str,0,0,0,0,99,str,EBS_A,str,4,1,1,5
101,1.6,EnemyS_D,2,4,,0,-1,0,2.5,str,0,0,0,0,99,str,EBS_A,str,4,1,1,5
101,0.3,EnemyS_D,2,4,,0,-1,0,2.5,str,0,0,0,0,99,str,EBS_A,str,4,1,1,5
101,0.3,EnemyS_D,2,4,,0,-1,0,2.5,str,0,0,0,0,99,str,EBS_A,str,4,1,1,5
101,0.3,EnemyS_D,2,4,,0,-1,0,2.5,str,0,0,0,0,99,str,EBS_A,str,4,1,1,5
101,0.3,EnemyS_D,2,4,silver,0,-1,0,2.5,str,0,0,0,0,99,str,EBS_A,str,4,1,1,5
102,1.5,EnemyS_B,-3.5,0.5,,3,1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.4,2
102,0.3,EnemyS_B,-3.5,0.5,silver,3,1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.6,2
102,0.3,EnemyS_B,-3.5,0.5,,3,1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.8,2
102,0.3,EnemyS_B,-3.5,0.5,silver,3,1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2
102,0.3,EnemyS_B,-3.5,0.5,,3,1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,1.2,2
102,1.5,EnemyS_B,3.5,0.5,,-3,1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.4,2
102,0.3,EnemyS_B,3.5,0.5,silver,-3,1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.6,2
102,0.3,EnemyS_B,3.5,0.5,,-3,1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.8,2
102,0.3,EnemyS_B,3.5,0.5,silver,-3,1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2
102,0.3,EnemyS_B,3.5,0.5,,-3,1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,1.2,2
103,1.5,EnemyM_C,-1,5,gold,0,-1,0,1,slow,-1,2,-2,1,6,str,EBS_A,way,2.5,3,1.5,2
103,1.5,EnemyM_C,1,5,gold,0,-1,0,1,slow,1,2,2,1,6,str,EBS_A,way,2.5,3,1.5,2
104,5,EnemyS_C,-0.6,4,pow,0,-0.5,0,2,slow,-0.6,2,-2,1,4,srt,EBS_A,str,4,1,1.5,5
104,0,EnemyS_C,0.6,4,gold,0,-0.5,0,2,slow,0.6,2,2,1,4,srt,EBS_A,str,4,1,1.5,5
