spawnCode,delay,enemyType,posX,posY,dropItemName,movX,movY,degreeZ,movSpeed,movingType,movDesX,movDesY,movExitX,movExitY,fieldTimeLimit,bulletType,bulletName,patternType,bulletSpeed,shootLimit,firstWaitTime,waitTime,Time
301,1,EnemyS_B,-3.5,2,silver,0,-1,0,1,slow,-0.5,2,0,0,99,str,EBS_A,str,4,1,1,99,3
301,0.25,EnemyS_B,-4.25,1.5,,0,-1,0,1,slow,-1.25,1.5,0,0,99,str,EBS_A,str,4,1,1,99,3.25
301,0.25,EnemyS_B,-5,1,,0,-1,0,1,slow,-2,1,0,0,99,str,EBS_A,str,4,1,1,99,3.5
301,1,EnemyS_B,3.5,2,silver,0,-1,0,1,slow,0.5,2,0,0,99,str,EBS_A,str,4,1,1,99,4.5
301,0.25,EnemyS_B,4.25,1.5,,0,-1,0,1,slow,1.25,1.5,0,0,99,str,EBS_A,str,4,1,1,99,4.75
301,0.25,EnemyS_B,5,1,,0,-1,0,1,slow,2,1,0,0,99,str,EBS_A,str,4,1,1,99,5
302,1.25,EnemyS_A,1,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.25
302,0.25,EnemyS_A,1.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.5
302,0,EnemyS_A,0.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.5
302,0.25,EnemyS_A,2,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.75
302,0,EnemyS_A,0,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.75
302,1,EnemyS_A,-1,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,7.75
302,0.25,EnemyS_A,-1.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,8
302,0,EnemyS_A,-0.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,8
302,0.25,EnemyS_A,-2,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,8.25
302,0,EnemyS_A,0,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,8.25
303,1,EnemyM_C,-4,2,gold,0,-1,0,0.5,slow,-1.25,1,-2,-1,5,str,EBS_A,way,2.5,3,1.5,2,9.25
303,0.75,EnemyS_C,4,0,silver,0,1,0,2,slow,2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,10
303,0.5,EnemyS_C,3,0,silver,0,1,0,2,slow,1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,10.5
303,0.5,EnemyS_C,4,0,,0,1,0,2,slow,2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,11
303,0.5,EnemyS_C,3,0,,0,1,0,2,slow,1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,11.5
303,0.5,EnemyS_C,4,0,silver,0,1,0,2,slow,2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,12
303,0.5,EnemyS_C,3,0,silver,0,1,0,2,slow,1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,12.5
303,0.5,EnemyS_C,4,0,,0,1,0,2,slow,2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,13
303,0.5,EnemyS_C,3,0,,0,1,0,2,slow,1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,13.5
303,1,EnemyM_C,4,2,gold,0,-1,0,0.5,slow,1.25,1,2,-1,5,str,EBS_A,way,2.5,3,1.5,2,14.5
303,0.75,EnemyS_C,-3,0,silver,0,1,0,2,slow,-1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,15.75
303,0.5,EnemyS_C,-4,0,silver,0,1,0,2,slow,-2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,15.75
303,0.5,EnemyS_C,-3,0,,0,1,0,2,slow,-1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,16.25
303,0.5,EnemyS_C,-4,0,,0,1,0,2,slow,-2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,16.75
303,0.5,EnemyS_C,-3,0,silver,0,1,0,2,slow,-1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,17.25
303,0.5,EnemyS_C,-4,0,silver,0,1,0,2,slow,-2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,17.75
303,0.5,EnemyS_C,-3,0,,0,1,0,2,slow,-1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,18.25
303,0.5,EnemyS_C,-4,0,,0,1,0,2,slow,-2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,18.75
304,1,EnemyS_A,-0.6,4,pow,0,-0.5,0,2,slow,-0.6,2,-2,1,4,srt,EBS_A,str,4,1,1.5,5,19.75
304,0,EnemyS_A,0.6,4,gold,0,-0.5,0,2,slow,0.6,2,2,1,4,srt,EBS_A,str,4,1,1.5,5,19.75
304,0.25,EnemyS_A,-1.2,4,,0,-0.5,0,2,slow,-1.2,1.6,-2,1,4,srt,EBS_A,str,4,1,1.5,5,20
304,0,EnemyS_A,1.2,4,,0,-0.5,0,2,slow,1.2,1.6,2,1,4,srt,EBS_A,str,4,1,1.5,5,20
304,0.25,EnemyS_A,-1.8,4,,0,-0.5,0,2,slow,-1.8,1.2,-2,1,4,srt,EBS_A,str,4,1,1.5,5,20.25
304,0,EnemyS_A,1.8,4,,0,-0.5,0,2,slow,1.8,1.2,2,1,4,srt,EBS_A,str,4,1,1.5,5,20.25
305,1,EnemyS_B,-1,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,99,21.25
305,0.25,EnemyS_B,-1,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.8,99,21.5
305,0.25,EnemyS_B,-1,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,1,99,21.75
305,0.5,EnemyS_B,1,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,99,22.25
305,0.25,EnemyS_B,1,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.8,99,22.5
305,0.25,EnemyS_B,1,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,1,99,22.75
311,1.25,EnemyS_B,3.5,2,,-3,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.4,2,24
311,0.25,EnemyS_B,3.5,2,silver,-3,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.6,2,24.25
311,0.25,EnemyS_B,3.5,2,,-3,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.8,2,24.5
311,0.125,EnemyS_B,3.5,1,,-3,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.4,2,24.625
311,0.125,EnemyS_B,3.5,2,silver,-3,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,24.75
311,0.125,EnemyS_B,3.5,1,silver,-3,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.6,2,24.875
311,0.125,EnemyS_B,3.5,2,,-3,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,1.2,2,25
311,0.125,EnemyS_B,3.5,1,,-3,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.8,2,25.125
311,0.25,EnemyS_B,3.5,1,silver,-3,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,25.375
311,0.25,EnemyS_B,3.5,1,,-3,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,1.2,2,25.625
312,1.125,EnemyS_C,2,4,silver,0,-1,0,1,slow,1,2,0,-1,5,str,EBS_A,str,4,1,1,2,26.75
312,0.25,EnemyS_C,0,4,,0,-1,0,1,slow,-1,2,0,-1,5,str,EBS_A,str,4,1,1,2,27
312,0.25,EnemyS_C,-1,4,silver,0,-1,0,1,slow,-2,2,0,-1,5,str,EBS_A,str,4,1,1,2,27.25
312,0.25,EnemyS_C,1.5,4,,0,-1,0,1,slow,0.5,2,0,-1,5,str,EBS_A,str,4,1,1,2,27.5
312,0.25,EnemyS_C,-0.5,4,silver,0,-1,0,1,slow,-1.5,2,0,-1,5,str,EBS_A,str,4,1,1,2,27.75
312,0.25,EnemyS_C,2,4,,0,-1,0,1,slow,1,2,0,-1,5,str,EBS_A,str,4,1,1,2,28
312,0.25,EnemyS_C,-1,4,silver,0,-1,0,1,slow,-2,2,0,-1,5,str,EBS_A,str,4,1,1,2,28.25
312,0.25,EnemyS_C,0,4,,0,-1,0,1,slow,-1,2,0,-1,5,str,EBS_A,str,4,1,1,2,28.5
312,0.25,EnemyS_C,1,4,silver,0,-1,0,1,slow,0,2,0,-1,5,str,EBS_A,str,4,1,1,2,28.75
