spawnCode,delay,enemyType,posX,posY,dropItemName,movX,movY,degreeZ,movSpeed,movingType,movDesX,movDesY,movExitX,movExitY,fieldTimeLimit,bulletType,bulletName,patternType,bulletSpeed,shootLimit,firstWaitTime,waitTime,
301,1,EnemyS_B,-3.5,2,,0,-1,0,1,slow,-0.5,2,0,0,99,str,EBS_A,str,4,1,1,99,3
301,0.25,EnemyS_B,-4.25,1.5,,0,-1,0,1,slow,-1.25,1.5,0,0,99,str,EBS_A,str,4,1,1,99,3.25
301,0.25,EnemyS_B,-5,1,,0,-1,0,1,slow,-2,1,0,0,99,str,EBS_A,str,4,1,1,99,3.5
301,1,EnemyS_B,3.5,2,,0,-1,0,1,slow,0.5,2,0,0,99,str,EBS_A,str,4,1,1,99,4.5
301,0.25,EnemyS_B,4.25,1.5,,0,-1,0,1,slow,1.25,1.5,0,0,99,str,EBS_A,str,4,1,1,99,4.75
301,0.25,EnemyS_B,5,1,,0,-1,0,1,slow,2,1,0,0,99,str,EBS_A,str,4,1,1,99,5
302,1,EnemyS_A,1,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6
302,0.25,EnemyS_A,1.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.25
302,0,EnemyS_A,0.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.25
302,0.25,EnemyS_A,2,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.5
302,0,EnemyS_A,0,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.5
302,0.75,EnemyS_A,-1,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,7.25
302,0.25,EnemyS_A,-1.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,7.5
302,0,EnemyS_A,-0.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,7.5
302,0.25,EnemyS_A,-2,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,7.75
